# source-commit	beff256b491e20508eab0319b23547ff145cfd04
# cargo-lock-sha256	01b65d23eb9d3c589b7f50bd79d9f0ebc7454e836f0abd05734b838952c5437a
package	version	declared_license	source
serde_derive_internals	0.29.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_json	1.0.149	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_yaml	0.9.34+deprecated	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha1	0.10.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha1-checked	0.10.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha2	0.10.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sharded-slab	0.1.7	MIT	registry+https://github.com/rust-lang/crates.io-index
shell-words	1.1.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
shlex	1.3.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
signal-hook	0.3.18	Apache-2.0/MIT	registry+https://github.com/rust-lang/crates.io-index
signal-hook	0.4.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
signal-hook-mio	0.2.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
signal-hook-registry	1.4.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
simd-adler32	0.3.8	MIT	registry+https://github.com/rust-lang/crates.io-index
similar	2.7.0	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
smallvec	1.15.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sqlite-wasm-rs	0.5.2	MIT	registry+https://github.com/rust-lang/crates.io-index
stable_deref_trait	1.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
static_assertions	1.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
stdio-override	0.2.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
strsim	0.11.1	MIT	registry+https://github.com/rust-lang/crates.io-index
syn	2.0.114	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
syntect	5.3.0	MIT	registry+https://github.com/rust-lang/crates.io-index
tempfile	3.25.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
termtree	0.5.1	MIT	registry+https://github.com/rust-lang/crates.io-index
thiserror	2.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror-impl	2.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thread_local	1.1.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time	0.3.45	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time-core	0.1.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time-macros	0.2.25	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
tinytemplate	1.2.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
tinyvec	1.10.0	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib	registry+https://github.com/rust-lang/crates.io-index
toon_rust	0.1.1	MIT	git+https://github.com/Dicklesworthstone/toon_rust.git?rev=788589d#788589d7b11a8bf2c88e364befe63d87eb890eba
tracing	0.1.44	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-attributes	0.1.31	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-core	0.1.36	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-log	0.2.0	MIT	registry+https://github.com/rust-lang/crates.io-index
